ref,sector,subsector,asset_type,spatial_type,layer
road_edges,transport,road,trunk,line,road_edges_trunk
road_edges,transport,road,secondary,line,road_edges_secondary
road_edges,transport,road,tertiary,line,road_edges_tertiary
road_edges,transport,road,primary,line,road_edges_primary
road_edges,transport,road,motorway,line,road_edges_motorway
rail_edges,transport,rail,open,line,rail_edges_open
rail_edges,transport,rail,disused,line,rail_edges_disused
rail_edges,transport,rail,rehabilitation,line,rail_edges_rehabilitation
rail_edges,transport,rail,construction,line,rail_edges_construction
rail_edges,transport,rail,abandoned,line,rail_edges_abandoned
rail_edges,transport,rail,proposed,line,rail_edges_proposed
rail_nodes,transport,rail,station,point,rail_nodes_station
rail_nodes,transport,rail,stop,point,rail_nodes_stop
rail_nodes,transport,rail,halt,point,rail_nodes_halt
rail_nodes,transport,rail,junction,point,rail_nodes_junction
port_nodes,transport,port,Maritime,point,port_nodes_maritime
port_nodes,transport,port,Lake,point,port_nodes_lake
port_edges,transport,port,route,line,port_edges
air_nodes,transport,air,airport,point,air_nodes
