hazard,path,epoch,rp,ssp,key
cyclone,IRIS_vmax_maps_2050-SSP1_tenthdeg.nc,2050,10,SSP1,IRIS__epoch_2050__rp_10__ssp_ssp1
cyclone,IRIS_vmax_maps_2050-SSP2_tenthdeg.nc,2050,10,SSP2,IRIS__epoch_2050__rp_10__ssp_ssp2
cyclone,IRIS_vmax_maps_2050-SSP5_tenthdeg.nc,2050,10,SSP5,IRIS__epoch_2050__rp_10__ssp_ssp5
cyclone,IRIS_vmax_maps_PRESENT_tenthdeg.nc,2020,10,constant,IRIS__epoch_2020__rp_10__ssp_constant
cyclone,IRIS_vmax_maps_2050-SSP1_tenthdeg.nc,2050,20,SSP1,IRIS__epoch_2050__rp_20__ssp_ssp1
cyclone,IRIS_vmax_maps_2050-SSP2_tenthdeg.nc,2050,20,SSP2,IRIS__epoch_2050__rp_20__ssp_ssp2
cyclone,IRIS_vmax_maps_2050-SSP5_tenthdeg.nc,2050,20,SSP5,IRIS__epoch_2050__rp_20__ssp_ssp5
cyclone,IRIS_vmax_maps_PRESENT_tenthdeg.nc,2020,20,constant,IRIS__epoch_2020__rp_20__ssp_constant
cyclone,IRIS_vmax_maps_2050-SSP1_tenthdeg.nc,2050,30,SSP1,IRIS__epoch_2050__rp_30__ssp_ssp1
cyclone,IRIS_vmax_maps_2050-SSP2_tenthdeg.nc,2050,30,SSP2,IRIS__epoch_2050__rp_30__ssp_ssp2
cyclone,IRIS_vmax_maps_2050-SSP5_tenthdeg.nc,2050,30,SSP5,IRIS__epoch_2050__rp_30__ssp_ssp5
cyclone,IRIS_vmax_maps_PRESENT_tenthdeg.nc,2020,30,constant,IRIS__epoch_2020__rp_30__ssp_constant
cyclone,IRIS_vmax_maps_2050-SSP1_tenthdeg.nc,2050,40,SSP1,IRIS__epoch_2050__rp_40__ssp_ssp1
cyclone,IRIS_vmax_maps_2050-SSP2_tenthdeg.nc,2050,40,SSP2,IRIS__epoch_2050__rp_40__ssp_ssp2
cyclone,IRIS_vmax_maps_2050-SSP5_tenthdeg.nc,2050,40,SSP5,IRIS__epoch_2050__rp_40__ssp_ssp5
cyclone,IRIS_vmax_maps_PRESENT_tenthdeg.nc,2020,40,constant,IRIS__epoch_2020__rp_40__ssp_constant
cyclone,IRIS_vmax_maps_2050-SSP1_tenthdeg.nc,2050,50,SSP1,IRIS__epoch_2050__rp_50__ssp_ssp1
cyclone,IRIS_vmax_maps_2050-SSP2_tenthdeg.nc,2050,50,SSP2,IRIS__epoch_2050__rp_50__ssp_ssp2
cyclone,IRIS_vmax_maps_2050-SSP5_tenthdeg.nc,2050,50,SSP5,IRIS__epoch_2050__rp_50__ssp_ssp5
cyclone,IRIS_vmax_maps_PRESENT_tenthdeg.nc,2020,50,constant,IRIS__epoch_2020__rp_50__ssp_constant
cyclone,IRIS_vmax_maps_2050-SSP1_tenthdeg.nc,2050,60,SSP1,IRIS__epoch_2050__rp_60__ssp_ssp1
cyclone,IRIS_vmax_maps_2050-SSP2_tenthdeg.nc,2050,60,SSP2,IRIS__epoch_2050__rp_60__ssp_ssp2
cyclone,IRIS_vmax_maps_2050-SSP5_tenthdeg.nc,2050,60,SSP5,IRIS__epoch_2050__rp_60__ssp_ssp5
cyclone,IRIS_vmax_maps_PRESENT_tenthdeg.nc,2020,60,constant,IRIS__epoch_2020__rp_60__ssp_constant
cyclone,IRIS_vmax_maps_2050-SSP1_tenthdeg.nc,2050,70,SSP1,IRIS__epoch_2050__rp_70__ssp_ssp1
cyclone,IRIS_vmax_maps_2050-SSP2_tenthdeg.nc,2050,70,SSP2,IRIS__epoch_2050__rp_70__ssp_ssp2
cyclone,IRIS_vmax_maps_2050-SSP5_tenthdeg.nc,2050,70,SSP5,IRIS__epoch_2050__rp_70__ssp_ssp5
cyclone,IRIS_vmax_maps_PRESENT_tenthdeg.nc,2020,70,constant,IRIS__epoch_2020__rp_70__ssp_constant
cyclone,IRIS_vmax_maps_2050-SSP1_tenthdeg.nc,2050,80,SSP1,IRIS__epoch_2050__rp_80__ssp_ssp1
cyclone,IRIS_vmax_maps_2050-SSP2_tenthdeg.nc,2050,80,SSP2,IRIS__epoch_2050__rp_80__ssp_ssp2
cyclone,IRIS_vmax_maps_2050-SSP5_tenthdeg.nc,2050,80,SSP5,IRIS__epoch_2050__rp_80__ssp_ssp5
cyclone,IRIS_vmax_maps_PRESENT_tenthdeg.nc,2020,80,constant,IRIS__epoch_2020__rp_80__ssp_constant
cyclone,IRIS_vmax_maps_2050-SSP1_tenthdeg.nc,2050,90,SSP1,IRIS__epoch_2050__rp_90__ssp_ssp1
cyclone,IRIS_vmax_maps_2050-SSP2_tenthdeg.nc,2050,90,SSP2,IRIS__epoch_2050__rp_90__ssp_ssp2
cyclone,IRIS_vmax_maps_2050-SSP5_tenthdeg.nc,2050,90,SSP5,IRIS__epoch_2050__rp_90__ssp_ssp5
cyclone,IRIS_vmax_maps_PRESENT_tenthdeg.nc,2020,90,constant,IRIS__epoch_2020__rp_90__ssp_constant
cyclone,IRIS_vmax_maps_2050-SSP1_tenthdeg.nc,2050,100,SSP1,IRIS__epoch_2050__rp_100__ssp_ssp1
cyclone,IRIS_vmax_maps_2050-SSP2_tenthdeg.nc,2050,100,SSP2,IRIS__epoch_2050__rp_100__ssp_ssp2
cyclone,IRIS_vmax_maps_2050-SSP5_tenthdeg.nc,2050,100,SSP5,IRIS__epoch_2050__rp_100__ssp_ssp5
cyclone,IRIS_vmax_maps_PRESENT_tenthdeg.nc,2020,100,constant,IRIS__epoch_2020__rp_100__ssp_constant
cyclone,IRIS_vmax_maps_2050-SSP1_tenthdeg.nc,2050,200,SSP1,IRIS__epoch_2050__rp_200__ssp_ssp1
cyclone,IRIS_vmax_maps_2050-SSP2_tenthdeg.nc,2050,200,SSP2,IRIS__epoch_2050__rp_200__ssp_ssp2
cyclone,IRIS_vmax_maps_2050-SSP5_tenthdeg.nc,2050,200,SSP5,IRIS__epoch_2050__rp_200__ssp_ssp5
cyclone,IRIS_vmax_maps_PRESENT_tenthdeg.nc,2020,200,constant,IRIS__epoch_2020__rp_200__ssp_constant
cyclone,IRIS_vmax_maps_2050-SSP1_tenthdeg.nc,2050,300,SSP1,IRIS__epoch_2050__rp_300__ssp_ssp1
cyclone,IRIS_vmax_maps_2050-SSP2_tenthdeg.nc,2050,300,SSP2,IRIS__epoch_2050__rp_300__ssp_ssp2
cyclone,IRIS_vmax_maps_2050-SSP5_tenthdeg.nc,2050,300,SSP5,IRIS__epoch_2050__rp_300__ssp_ssp5
cyclone,IRIS_vmax_maps_PRESENT_tenthdeg.nc,2020,300,constant,IRIS__epoch_2020__rp_300__ssp_constant
cyclone,IRIS_vmax_maps_2050-SSP1_tenthdeg.nc,2050,400,SSP1,IRIS__epoch_2050__rp_400__ssp_ssp1
cyclone,IRIS_vmax_maps_2050-SSP2_tenthdeg.nc,2050,400,SSP2,IRIS__epoch_2050__rp_400__ssp_ssp2
cyclone,IRIS_vmax_maps_2050-SSP5_tenthdeg.nc,2050,400,SSP5,IRIS__epoch_2050__rp_400__ssp_ssp5
cyclone,IRIS_vmax_maps_PRESENT_tenthdeg.nc,2020,400,constant,IRIS__epoch_2020__rp_400__ssp_constant
cyclone,IRIS_vmax_maps_2050-SSP1_tenthdeg.nc,2050,500,SSP1,IRIS__epoch_2050__rp_500__ssp_ssp1
cyclone,IRIS_vmax_maps_2050-SSP2_tenthdeg.nc,2050,500,SSP2,IRIS__epoch_2050__rp_500__ssp_ssp2
cyclone,IRIS_vmax_maps_2050-SSP5_tenthdeg.nc,2050,500,SSP5,IRIS__epoch_2050__rp_500__ssp_ssp5
cyclone,IRIS_vmax_maps_PRESENT_tenthdeg.nc,2020,500,constant,IRIS__epoch_2020__rp_500__ssp_constant
cyclone,IRIS_vmax_maps_2050-SSP1_tenthdeg.nc,2050,600,SSP1,IRIS__epoch_2050__rp_600__ssp_ssp1
cyclone,IRIS_vmax_maps_2050-SSP2_tenthdeg.nc,2050,600,SSP2,IRIS__epoch_2050__rp_600__ssp_ssp2
cyclone,IRIS_vmax_maps_2050-SSP5_tenthdeg.nc,2050,600,SSP5,IRIS__epoch_2050__rp_600__ssp_ssp5
cyclone,IRIS_vmax_maps_PRESENT_tenthdeg.nc,2020,600,constant,IRIS__epoch_2020__rp_600__ssp_constant
cyclone,IRIS_vmax_maps_2050-SSP1_tenthdeg.nc,2050,700,SSP1,IRIS__epoch_2050__rp_700__ssp_ssp1
cyclone,IRIS_vmax_maps_2050-SSP2_tenthdeg.nc,2050,700,SSP2,IRIS__epoch_2050__rp_700__ssp_ssp2
cyclone,IRIS_vmax_maps_2050-SSP5_tenthdeg.nc,2050,700,SSP5,IRIS__epoch_2050__rp_700__ssp_ssp5
cyclone,IRIS_vmax_maps_PRESENT_tenthdeg.nc,2020,700,constant,IRIS__epoch_2020__rp_700__ssp_constant
cyclone,IRIS_vmax_maps_2050-SSP1_tenthdeg.nc,2050,800,SSP1,IRIS__epoch_2050__rp_800__ssp_ssp1
cyclone,IRIS_vmax_maps_2050-SSP2_tenthdeg.nc,2050,800,SSP2,IRIS__epoch_2050__rp_800__ssp_ssp2
cyclone,IRIS_vmax_maps_2050-SSP5_tenthdeg.nc,2050,800,SSP5,IRIS__epoch_2050__rp_800__ssp_ssp5
cyclone,IRIS_vmax_maps_PRESENT_tenthdeg.nc,2020,800,constant,IRIS__epoch_2020__rp_800__ssp_constant
cyclone,IRIS_vmax_maps_2050-SSP1_tenthdeg.nc,2050,900,SSP1,IRIS__epoch_2050__rp_900__ssp_ssp1
cyclone,IRIS_vmax_maps_2050-SSP2_tenthdeg.nc,2050,900,SSP2,IRIS__epoch_2050__rp_900__ssp_ssp2
cyclone,IRIS_vmax_maps_2050-SSP5_tenthdeg.nc,2050,900,SSP5,IRIS__epoch_2050__rp_900__ssp_ssp5
cyclone,IRIS_vmax_maps_PRESENT_tenthdeg.nc,2020,900,constant,IRIS__epoch_2020__rp_900__ssp_constant
cyclone,IRIS_vmax_maps_2050-SSP1_tenthdeg.nc,2050,1000,SSP1,IRIS__epoch_2050__rp_1000__ssp_ssp1
cyclone,IRIS_vmax_maps_2050-SSP2_tenthdeg.nc,2050,1000,SSP2,IRIS__epoch_2050__rp_1000__ssp_ssp2
cyclone,IRIS_vmax_maps_2050-SSP5_tenthdeg.nc,2050,1000,SSP5,IRIS__epoch_2050__rp_1000__ssp_ssp5
cyclone,IRIS_vmax_maps_PRESENT_tenthdeg.nc,2020,1000,constant,IRIS__epoch_2020__rp_1000__ssp_constant
