hazard,metric,path,rcp,epoch,gcm,key
extreme_heat,occurrence,/home/dusted/code/oxford/infra-risk-vis/etl/raw_data/processed_data/input/hazard-isimp_extreme_heat/occurrence/lange2020_hwmid-humidex_gfdl-esm2m_ewembi_rcp26_nosoc_co2_leh_global_annual_2006_2099_2030_occurence.tif,2x6,2030,gfdl-esm2m,lange2020_hwmid-humidex_gfdl-esm2m_ewembi_rcp26_nosoc_co2_leh_global_annual_2006_2099
extreme_heat,occurrence,/home/dusted/code/oxford/infra-risk-vis/etl/raw_data/processed_data/input/hazard-isimp_extreme_heat/occurrence/lange2020_hwmid-humidex_gfdl-esm2m_ewembi_rcp26_nosoc_co2_leh_global_annual_2006_2099_2050_occurence.tif,2x6,2050,gfdl-esm2m,lange2020_hwmid-humidex_gfdl-esm2m_ewembi_rcp26_nosoc_co2_leh_global_annual_2006_2099
extreme_heat,occurrence,/home/dusted/code/oxford/infra-risk-vis/etl/raw_data/processed_data/input/hazard-isimp_extreme_heat/occurrence/lange2020_hwmid-humidex_gfdl-esm2m_ewembi_rcp26_nosoc_co2_leh_global_annual_2006_2099_2080_occurence.tif,2x6,2080,gfdl-esm2m,lange2020_hwmid-humidex_gfdl-esm2m_ewembi_rcp26_nosoc_co2_leh_global_annual_2006_2099
extreme_heat,exposure,/home/dusted/code/oxford/infra-risk-vis/etl/raw_data/processed_data/input/hazard-isimp_extreme_heat/exposure/lange2020_hwmid-humidex_gfdl-esm2m_ewembi_rcp26_nosoc_co2_leh_global_annual_2006_2099_2030_occurence.tif,2x6,2030,gfdl-esm2m,lange2020_hwmid-humidex_miroc5_ewembi_historical_nosoc_co2_leh_global_annual_1861_2005
extreme_heat,exposure,/home/dusted/code/oxford/infra-risk-vis/etl/raw_data/processed_data/input/hazard-isimp_extreme_heat/exposure/lange2020_hwmid-humidex_gfdl-esm2m_ewembi_rcp26_nosoc_co2_leh_global_annual_2006_2099_2050_occurence.tif,2x6,2050,gfdl-esm2m,lange2020_hwmid-humidex_miroc5_ewembi_historical_nosoc_co2_leh_global_annual_1861_2005
extreme_heat,exposure,/home/dusted/code/oxford/infra-risk-vis/etl/raw_data/processed_data/input/hazard-isimp_extreme_heat/exposure/lange2020_hwmid-humidex_gfdl-esm2m_ewembi_rcp26_nosoc_co2_leh_global_annual_2006_2099_2080_occurence.tif,2x6,2080,gfdl-esm2m,lange2020_hwmid-humidex_miroc5_ewembi_historical_nosoc_co2_leh_global_annual_1861_2005
extreme_heat,occurrence,/home/dusted/code/oxford/infra-risk-vis/etl/raw_data/processed_data/input/hazard-isimp_extreme_heat/occurrence/lange2020_hwmid-humidex_gfdl-esm2m_ewembi_rcp60_nosoc_co2_leh_global_annual_2006_2099_2030_occurence.tif,6x0,2030,gfdl-esm2m,lange2020_hwmid-humidex_gfdl-esm2m_ewembi_rcp60_nosoc_co2_leh_global_annual_2006_2099
extreme_heat,occurrence,/home/dusted/code/oxford/infra-risk-vis/etl/raw_data/processed_data/input/hazard-isimp_extreme_heat/occurrence/lange2020_hwmid-humidex_gfdl-esm2m_ewembi_rcp60_nosoc_co2_leh_global_annual_2006_2099_2050_occurence.tif,6x0,2050,gfdl-esm2m,lange2020_hwmid-humidex_gfdl-esm2m_ewembi_rcp60_nosoc_co2_leh_global_annual_2006_2099
extreme_heat,occurrence,/home/dusted/code/oxford/infra-risk-vis/etl/raw_data/processed_data/input/hazard-isimp_extreme_heat/occurrence/lange2020_hwmid-humidex_gfdl-esm2m_ewembi_rcp60_nosoc_co2_leh_global_annual_2006_2099_2080_occurence.tif,6x0,2080,gfdl-esm2m,lange2020_hwmid-humidex_gfdl-esm2m_ewembi_rcp60_nosoc_co2_leh_global_annual_2006_2099
extreme_heat,exposure,/home/dusted/code/oxford/infra-risk-vis/etl/raw_data/processed_data/input/hazard-isimp_extreme_heat/exposure/lange2020_hwmid-humidex_gfdl-esm2m_ewembi_rcp60_nosoc_co2_leh_global_annual_2006_2099_2030_occurence.tif,6x0,2030,gfdl-esm2m,lange2020_hwmid-humidex_miroc5_ewembi_historical_nosoc_co2_leh_global_annual_1861_2005
